tolerance,radius,min_size,max_size,AUC
0.1,5,55,125,0.5857142857142856
0.1,5,55,135,0.5857142857142856
0.1,5,55,145,0.5857142857142856
0.1,5,55,155,0.5857142857142856
0.1,5,55,165,0.5857142857142856
0.1,5,55,175,0.5857142857142856
0.1,5,55,185,0.5857142857142856
0.1,5,55,195,0.5857142857142856
0.1,5,55,205,0.5857142857142856
0.1,5,55,215,0.5857142857142856
0.1,5,55,225,0.5857142857142856
0.1,5,55,235,0.5857142857142856
0.1,5,55,245,0.5857142857142856
0.1,5,55,255,0.5857142857142856
0.1,5,55,265,0.5857142857142856
0.1,5,55,275,0.5857142857142856
0.1,5,55,285,0.5857142857142856
0.1,5,55,295,0.5857142857142856
0.1,5,55,305,0.5857142857142856
0.1,5,55,315,0.5857142857142856
0.1,5,55,325,0.5857142857142856
0.1,5,55,335,0.5857142857142856
0.1,5,55,345,0.5857142857142856
0.1,5,55,355,0.5857142857142856
0.1,5,55,365,0.5857142857142856
0.1,5,55,375,0.5857142857142856
0.1,5,55,385,0.5857142857142856
0.1,5,55,395,0.5857142857142856
0.1,5,60,110,0.5714285714285714
0.1,5,60,120,0.5714285714285714
0.1,5,60,130,0.5714285714285714
0.1,5,60,140,0.5714285714285714
0.1,5,60,150,0.5714285714285714
0.1,5,60,160,0.5714285714285714
0.1,5,60,170,0.5714285714285714
0.1,5,60,180,0.5714285714285714
0.1,5,60,190,0.5714285714285714
0.1,5,60,200,0.5714285714285714
0.1,5,60,210,0.5714285714285714
0.1,5,60,220,0.5714285714285714
0.1,5,60,230,0.5714285714285714
0.1,5,60,240,0.5714285714285714
0.1,5,60,250,0.5714285714285714
0.1,5,60,260,0.5714285714285714
0.1,5,60,270,0.5714285714285714
0.1,5,60,280,0.5714285714285714
0.1,5,60,290,0.5714285714285714
0.1,5,60,300,0.5714285714285714
0.1,5,60,310,0.5714285714285714
0.1,5,60,320,0.5714285714285714
0.1,5,60,330,0.5714285714285714
0.1,5,60,340,0.5714285714285714
0.1,5,60,350,0.5714285714285714
0.1,5,60,360,0.5714285714285714
0.1,5,60,370,0.5714285714285714
0.1,5,60,380,0.5714285714285714
0.1,5,60,390,0.5714285714285714
0.1,5,65,115,0.5428571428571429
0.1,5,65,125,0.5428571428571429
0.1,5,65,135,0.5428571428571429
0.1,5,65,145,0.5428571428571429
0.1,5,65,155,0.5428571428571429
0.1,5,65,165,0.5428571428571429
0.1,5,65,175,0.5428571428571429
0.1,5,65,185,0.5428571428571429
0.1,5,65,195,0.5428571428571429
0.1,5,65,205,0.5428571428571429
0.1,5,65,215,0.5428571428571429
0.1,5,65,225,0.5428571428571429
0.1,5,65,235,0.5428571428571429
0.1,5,65,245,0.5428571428571429
0.1,5,65,255,0.5428571428571429
0.1,5,65,265,0.5428571428571429
0.1,5,65,275,0.5428571428571429
0.1,5,65,285,0.5428571428571429
0.1,5,65,295,0.5428571428571429
0.1,5,65,305,0.5428571428571429
0.1,5,65,315,0.5428571428571429
0.1,5,65,325,0.5428571428571429
0.1,5,65,335,0.5428571428571429
0.1,5,65,345,0.5428571428571429
0.1,5,65,355,0.5428571428571429
0.1,5,65,365,0.5428571428571429
0.1,5,65,375,0.5428571428571429
0.1,5,65,385,0.5428571428571429
0.1,5,65,395,0.5428571428571429
0.1,5,70,120,0.5285714285714286
0.1,5,70,130,0.5285714285714286
0.1,5,70,140,0.5285714285714286
0.1,5,70,150,0.5285714285714286
0.1,5,70,160,0.5285714285714286
0.1,5,70,170,0.5285714285714286
0.1,5,70,180,0.5285714285714286
0.1,5,70,190,0.5285714285714286
0.1,5,70,200,0.5285714285714286
0.1,5,70,210,0.5285714285714286
0.1,5,70,220,0.5285714285714286
0.1,5,70,230,0.5285714285714286
0.1,5,70,240,0.5285714285714286
0.1,5,70,250,0.5285714285714286
0.1,5,70,260,0.5285714285714286
0.1,5,70,270,0.5285714285714286
0.1,5,70,280,0.5285714285714286
0.1,5,70,290,0.5285714285714286
0.1,5,70,300,0.5285714285714286
0.1,5,70,310,0.5285714285714286
0.1,5,70,320,0.5285714285714286
0.1,5,70,330,0.5285714285714286
0.1,5,70,340,0.5285714285714286
0.1,5,70,350,0.5285714285714286
0.1,5,70,360,0.5285714285714286
0.1,5,70,370,0.5285714285714286
0.1,5,70,380,0.5285714285714286
0.1,5,70,390,0.5285714285714286
0.1,5,75,125,0.5285714285714286
0.1,5,75,135,0.5285714285714286
0.1,5,75,145,0.5285714285714286
0.1,5,75,155,0.5285714285714286
0.1,5,75,165,0.5285714285714286
0.1,5,75,175,0.5285714285714286
0.1,5,75,185,0.5285714285714286
0.1,5,75,195,0.5285714285714286
0.1,5,75,205,0.5285714285714286
0.1,5,75,215,0.5285714285714286
0.1,5,75,225,0.5285714285714286
0.1,5,75,235,0.5285714285714286
0.1,5,75,245,0.5285714285714286
0.1,5,75,255,0.5285714285714286
0.1,5,75,265,0.5285714285714286
0.1,5,75,275,0.5285714285714286
0.1,5,75,285,0.5285714285714286
0.1,5,75,295,0.5285714285714286
0.1,5,75,305,0.5285714285714286
0.1,5,75,315,0.5285714285714286
0.1,5,75,325,0.5285714285714286
0.1,5,75,335,0.5285714285714286
0.1,5,75,345,0.5285714285714286
0.1,5,75,355,0.5285714285714286
0.1,5,75,365,0.5285714285714286
0.1,5,75,375,0.5285714285714286
0.1,5,75,385,0.5285714285714286
0.1,5,75,395,0.5285714285714286
0.1,5,80,130,0.5285714285714286
0.1,5,80,140,0.5285714285714286
0.1,5,80,150,0.5285714285714286
0.1,5,80,160,0.5285714285714286
0.1,5,80,170,0.5285714285714286
0.1,5,80,180,0.5285714285714286
0.1,5,80,190,0.5285714285714286
0.1,5,80,200,0.5285714285714286
0.1,5,80,210,0.5285714285714286
0.1,5,80,220,0.5285714285714286
0.1,5,80,230,0.5285714285714286
0.1,5,80,240,0.5285714285714286
0.1,5,80,250,0.5285714285714286
0.1,5,80,260,0.5285714285714286
0.1,5,80,270,0.5285714285714286
0.1,5,80,280,0.5285714285714286
0.1,5,80,290,0.5285714285714286
0.1,5,80,300,0.5285714285714286
0.1,5,80,310,0.5285714285714286
0.1,5,80,320,0.5285714285714286
0.1,5,80,330,0.5285714285714286
0.1,5,80,340,0.5285714285714286
0.1,5,80,350,0.5285714285714286
0.1,5,80,360,0.5285714285714286
0.1,5,80,370,0.5285714285714286
0.1,5,80,380,0.5285714285714286
0.1,5,80,390,0.5285714285714286
0.1,5,85,135,0.5285714285714286
0.1,5,85,145,0.5285714285714286
0.1,5,85,155,0.5285714285714286
0.1,5,85,165,0.5285714285714286
0.1,5,85,175,0.5285714285714286
0.1,5,85,185,0.5285714285714286
0.1,5,85,195,0.5285714285714286
0.1,5,85,205,0.5285714285714286
0.1,5,85,215,0.5285714285714286
0.1,5,85,225,0.5285714285714286
0.1,5,85,235,0.5285714285714286
0.1,5,85,245,0.5285714285714286
0.1,5,85,255,0.5285714285714286
0.1,5,85,265,0.5285714285714286
0.1,5,85,275,0.5285714285714286
0.1,5,85,285,0.5285714285714286
0.1,5,85,295,0.5285714285714286
0.1,5,85,305,0.5285714285714286
0.1,5,85,315,0.5285714285714286
0.1,5,85,325,0.5285714285714286
0.1,5,85,335,0.5285714285714286
0.1,5,85,345,0.5285714285714286
0.1,5,85,355,0.5285714285714286
0.1,5,85,365,0.5285714285714286
0.1,5,85,375,0.5285714285714286
0.1,5,85,385,0.5285714285714286
0.1,5,85,395,0.5285714285714286
0.1,5,90,140,0.5285714285714286
0.1,5,90,150,0.5285714285714286
0.1,5,90,160,0.5285714285714286
0.1,5,90,170,0.5285714285714286
0.1,5,90,180,0.5285714285714286
0.1,5,90,190,0.5285714285714286
0.1,5,90,200,0.5285714285714286
0.1,5,90,210,0.5285714285714286
0.1,5,90,220,0.5285714285714286
0.1,5,90,230,0.5285714285714286
0.1,5,90,240,0.5285714285714286
0.1,5,90,250,0.5285714285714286
0.1,5,90,260,0.5285714285714286
0.1,5,90,270,0.5285714285714286
0.1,5,90,280,0.5285714285714286
0.1,5,90,290,0.5285714285714286
0.1,5,90,300,0.5285714285714286
0.1,5,90,310,0.5285714285714286
0.1,5,90,320,0.5285714285714286
0.1,5,90,330,0.5285714285714286
0.1,5,90,340,0.5285714285714286
0.1,5,90,350,0.5285714285714286
0.1,5,90,360,0.5285714285714286
0.1,5,90,370,0.5285714285714286
0.1,5,90,380,0.5285714285714286
0.1,5,90,390,0.5285714285714286
0.1,5,95,145,0.5285714285714286
0.1,5,95,155,0.5285714285714286
0.1,5,95,165,0.5285714285714286
0.1,5,95,175,0.5285714285714286
0.1,5,95,185,0.5285714285714286
0.1,5,95,195,0.5285714285714286
0.1,5,95,205,0.5285714285714286
0.1,5,95,215,0.5285714285714286
0.1,5,95,225,0.5285714285714286
0.1,5,95,235,0.5285714285714286
0.1,5,95,245,0.5285714285714286
0.1,5,95,255,0.5285714285714286
0.1,5,95,265,0.5285714285714286
0.1,5,95,275,0.5285714285714286
0.1,5,95,285,0.5285714285714286
0.1,5,95,295,0.5285714285714286
0.1,5,95,305,0.5285714285714286
0.1,5,95,315,0.5285714285714286
0.1,5,95,325,0.5285714285714286
0.1,5,95,335,0.5285714285714286
0.1,5,95,345,0.5285714285714286
0.1,5,95,355,0.5285714285714286
0.1,5,95,365,0.5285714285714286
0.1,5,95,375,0.5285714285714286
0.1,5,95,385,0.5285714285714286
0.1,5,95,395,0.5285714285714286
0.1,7,10,60,0.7107142857142857
0.1,7,10,70,0.7154761904761905
0.1,7,10,80,0.7178571428571429
0.1,7,10,90,0.7178571428571429
0.1,7,10,100,0.7178571428571429
0.1,7,10,110,0.7178571428571429
0.1,7,10,120,0.7178571428571429
0.1,7,10,130,0.7178571428571429
0.1,7,10,140,0.7178571428571429
0.1,7,10,150,0.7178571428571429
0.1,7,10,160,0.7178571428571429
0.1,7,10,170,0.7178571428571429
0.1,7,10,180,0.7178571428571429
0.1,7,10,190,0.7178571428571429
0.1,7,10,200,0.7178571428571429
0.1,7,10,210,0.7178571428571429
0.1,7,10,220,0.7178571428571429
0.1,7,10,230,0.7178571428571429
0.1,7,10,240,0.7178571428571429
0.1,7,10,250,0.7178571428571429
0.1,7,10,260,0.7178571428571429
0.1,7,10,270,0.7178571428571429
0.1,7,10,280,0.7178571428571429
0.1,7,10,290,0.7178571428571429
0.1,7,10,300,0.7178571428571429
0.1,7,10,310,0.7178571428571429
0.1,7,10,320,0.7178571428571429
0.1,7,10,330,0.7178571428571429
0.1,7,10,340,0.7178571428571429
0.1,7,10,350,0.7178571428571429
0.1,7,10,360,0.7178571428571429
0.1,7,10,370,0.7178571428571429
0.1,7,10,380,0.7178571428571429
0.1,7,10,390,0.7178571428571429
0.1,7,15,65,0.7165178571428572
0.1,7,15,75,0.7165178571428572
0.1,7,15,85,0.7188988095238096
0.1,7,15,95,0.7188988095238096
0.1,7,15,105,0.7188988095238096
0.1,7,15,115,0.7188988095238095
0.1,7,15,125,0.7188988095238095
0.1,7,15,135,0.7188988095238096
0.1,7,15,145,0.7188988095238095
0.1,7,15,155,0.7188988095238096
0.1,7,15,165,0.7188988095238096
0.1,7,15,175,0.7188988095238096
0.1,7,15,185,0.7188988095238096
0.1,7,15,195,0.7188988095238096
0.1,7,15,205,0.7188988095238096
0.1,7,15,215,0.7188988095238096
0.1,7,15,225,0.7188988095238096
0.1,7,15,235,0.7188988095238096
0.1,7,15,245,0.7188988095238096
0.1,7,15,255,0.7188988095238096
0.1,7,15,265,0.7188988095238096
0.1,7,15,275,0.7188988095238096
0.1,7,15,285,0.7188988095238096
0.1,7,15,295,0.7188988095238096
0.1,7,15,305,0.7188988095238096
0.1,7,15,315,0.7188988095238096
0.1,7,15,325,0.7188988095238096
0.1,7,15,335,0.7188988095238096
0.1,7,15,345,0.7188988095238096
0.1,7,15,355,0.7188988095238096
0.1,7,15,365,0.7188988095238096
0.1,7,15,375,0.7188988095238096
0.1,7,15,385,0.7188988095238096
0.1,7,15,395,0.7188988095238096
0.1,7,20,70,0.712202380952381
0.1,7,20,80,0.7145833333333333
0.1,7,20,90,0.7145833333333333
0.1,7,20,100,0.7145833333333333
0.1,7,20,110,0.7145833333333333
0.1,7,20,120,0.7145833333333333
0.1,7,20,130,0.7145833333333333
0.1,7,20,140,0.7145833333333333
0.1,7,20,150,0.7145833333333333
0.1,7,20,160,0.7145833333333333
0.1,7,20,170,0.7145833333333333
0.1,7,20,180,0.7145833333333333
0.1,7,20,190,0.7145833333333333
0.1,7,20,200,0.7145833333333333
0.1,7,20,210,0.7145833333333333
0.1,7,20,220,0.7145833333333333
0.1,7,20,230,0.7145833333333333
0.1,7,20,240,0.7145833333333333
0.1,7,20,250,0.7145833333333333
0.1,7,20,260,0.7145833333333333
0.1,7,20,270,0.7145833333333333
0.1,7,20,280,0.7145833333333333
0.1,7,20,290,0.7145833333333333
0.1,7,20,300,0.7145833333333333
0.1,7,20,310,0.7145833333333333
0.1,7,20,320,0.7145833333333333
0.1,7,20,330,0.7145833333333333
0.1,7,20,340,0.7145833333333333
0.1,7,20,350,0.7145833333333333
0.1,7,20,360,0.7145833333333333
0.1,7,20,370,0.7145833333333333
0.1,7,20,380,0.7145833333333333
0.1,7,20,390,0.7145833333333333
0.1,7,25,75,0.7319940476190476
0.1,7,25,85,0.734375
0.1,7,25,95,0.734375
0.1,7,25,105,0.734375
0.1,7,25,115,0.734375
0.1,7,25,125,0.734375
0.1,7,25,135,0.734375
0.1,7,25,145,0.734375
0.1,7,25,155,0.734375
0.1,7,25,165,0.734375
0.1,7,25,175,0.734375
0.1,7,25,185,0.734375
0.1,7,25,195,0.734375
0.1,7,25,205,0.734375
0.1,7,25,215,0.734375
0.1,7,25,225,0.734375
0.1,7,25,235,0.734375
0.1,7,25,245,0.734375
0.1,7,25,255,0.734375
0.1,7,25,265,0.734375
0.1,7,25,275,0.734375
0.1,7,25,285,0.734375
0.1,7,25,295,0.734375
0.1,7,25,305,0.734375
0.1,7,25,315,0.734375
0.1,7,25,325,0.734375
0.1,7,25,335,0.734375
0.1,7,25,345,0.734375
0.1,7,25,355,0.734375
0.1,7,25,365,0.734375
0.1,7,25,375,0.734375
0.1,7,25,385,0.734375
0.1,7,25,395,0.734375
0.1,7,30,80,0.7214285714285714
0.1,7,30,90,0.7214285714285714
0.1,7,30,100,0.7214285714285714
0.1,7,30,110,0.7214285714285714
0.1,7,30,120,0.7214285714285714
0.1,7,30,130,0.7214285714285714
0.1,7,30,140,0.7214285714285714
0.1,7,30,150,0.7214285714285714
0.1,7,30,160,0.7214285714285714
0.1,7,30,170,0.7214285714285714
0.1,7,30,180,0.7214285714285714
0.1,7,30,190,0.7214285714285714
0.1,7,30,200,0.7214285714285714
0.1,7,30,210,0.7214285714285714
0.1,7,30,220,0.7214285714285714
0.1,7,30,230,0.7214285714285714
0.1,7,30,240,0.7214285714285714
0.1,7,30,250,0.7214285714285714
0.1,7,30,260,0.7214285714285714
0.1,7,30,270,0.7214285714285714
0.1,7,30,280,0.7214285714285714
0.1,7,30,290,0.7214285714285714
0.1,7,30,300,0.7214285714285714
0.1,7,30,310,0.7214285714285714
0.1,7,30,320,0.7214285714285714
0.1,7,30,330,0.7214285714285714
0.1,7,30,340,0.7214285714285714
0.1,7,30,350,0.7214285714285714
0.1,7,30,360,0.7214285714285714
0.1,7,30,370,0.7214285714285714
0.1,7,30,380,0.7214285714285714
0.1,7,30,390,0.7214285714285714
0.1,7,35,85,0.744345238095238
0.1,7,35,95,0.744345238095238
0.1,7,35,105,0.744345238095238
0.1,7,35,115,0.7443452380952381
0.1,7,35,125,0.7443452380952381
0.1,7,35,135,0.744345238095238
0.1,7,35,145,0.7443452380952381
0.1,7,35,155,0.744345238095238
0.1,7,35,165,0.744345238095238
0.1,7,35,175,0.744345238095238
0.1,7,35,185,0.744345238095238
0.1,7,35,195,0.744345238095238
0.1,7,35,205,0.744345238095238
0.1,7,35,215,0.744345238095238
0.1,7,35,225,0.744345238095238
0.1,7,35,235,0.744345238095238
0.1,7,35,245,0.744345238095238
0.1,7,35,255,0.744345238095238
0.1,7,35,265,0.744345238095238
0.1,7,35,275,0.744345238095238
0.1,7,35,285,0.744345238095238
0.1,7,35,295,0.744345238095238
0.1,7,35,305,0.744345238095238
0.1,7,35,315,0.744345238095238
0.1,7,35,325,0.744345238095238
0.1,7,35,335,0.744345238095238
0.1,7,35,345,0.744345238095238
0.1,7,35,355,0.744345238095238
0.1,7,35,365,0.744345238095238
0.1,7,35,375,0.744345238095238
0.1,7,35,385,0.744345238095238
0.1,7,35,395,0.744345238095238
0.1,7,40,90,0.7449404761904762
0.1,7,40,100,0.7449404761904762
0.1,7,40,110,0.7449404761904762
0.1,7,40,120,0.7449404761904762
0.1,7,40,130,0.7449404761904762
0.1,7,40,140,0.7449404761904762
0.1,7,40,150,0.7449404761904762
0.1,7,40,160,0.7449404761904762
0.1,7,40,170,0.7449404761904762
0.1,7,40,180,0.7449404761904762
0.1,7,40,190,0.7449404761904762
0.1,7,40,200,0.7449404761904762
