low_cut,high_cut,logmode,min_val,max_val,AUC
10,40,False,0.1,0.7,0.7736607142857143
10,40,False,0.1,0.7888888888888889,0.7916666666666666
10,40,False,0.1,0.8777777777777778,0.7776785714285714
10,40,False,0.1,0.9666666666666666,0.7760416666666666
10,40,False,0.1,1.0555555555555556,0.7755952380952381
10,40,False,0.1,1.1444444444444444,0.7755952380952381
10,40,False,0.1,1.2333333333333334,0.7755952380952381
10,40,False,0.1,1.3222222222222222,0.7755952380952381
10,40,False,0.1,1.411111111111111,0.7755952380952381
10,40,False,0.1,1.5,0.7755952380952381
10,40,False,0.15555555555555556,0.7,0.7736607142857143
10,40,False,0.15555555555555556,0.7888888888888889,0.7916666666666666
10,40,False,0.15555555555555556,0.8777777777777778,0.7776785714285714
10,40,False,0.15555555555555556,0.9666666666666666,0.7760416666666666
10,40,False,0.15555555555555556,1.0555555555555556,0.7755952380952381
10,40,False,0.15555555555555556,1.1444444444444444,0.7755952380952381
10,40,False,0.15555555555555556,1.2333333333333334,0.7755952380952381
10,40,False,0.15555555555555556,1.3222222222222222,0.7755952380952381
10,40,False,0.15555555555555556,1.411111111111111,0.7755952380952381
10,40,False,0.15555555555555556,1.5,0.7755952380952381
10,40,False,0.2111111111111111,0.7,0.7736607142857143
10,40,False,0.2111111111111111,0.7888888888888889,0.7916666666666666
10,40,False,0.2111111111111111,0.8777777777777778,0.7776785714285714
10,40,False,0.2111111111111111,0.9666666666666666,0.7760416666666666
10,40,False,0.2111111111111111,1.0555555555555556,0.7755952380952381
10,40,False,0.2111111111111111,1.1444444444444444,0.7755952380952381
10,40,False,0.2111111111111111,1.2333333333333334,0.7755952380952381
10,40,False,0.2111111111111111,1.3222222222222222,0.7755952380952381
10,40,False,0.2111111111111111,1.411111111111111,0.7755952380952381
10,40,False,0.2111111111111111,1.5,0.7755952380952381
10,40,False,0.26666666666666666,0.7,0.7736607142857143
10,40,False,0.26666666666666666,0.7888888888888889,0.7916666666666666
10,40,False,0.26666666666666666,0.8777777777777778,0.7776785714285714
10,40,False,0.26666666666666666,0.9666666666666666,0.7760416666666666
10,40,False,0.26666666666666666,1.0555555555555556,0.7755952380952381
10,40,False,0.26666666666666666,1.1444444444444444,0.7755952380952381
10,40,False,0.26666666666666666,1.2333333333333334,0.7755952380952381
10,40,False,0.26666666666666666,1.3222222222222222,0.7755952380952381
10,40,False,0.26666666666666666,1.411111111111111,0.7755952380952381
10,40,False,0.26666666666666666,1.5,0.7755952380952381
10,40,False,0.3222222222222222,0.7,0.7736607142857143
10,40,False,0.3222222222222222,0.7888888888888889,0.7916666666666666
10,40,False,0.3222222222222222,0.8777777777777778,0.7776785714285714
10,40,False,0.3222222222222222,0.9666666666666666,0.7760416666666666
10,40,False,0.3222222222222222,1.0555555555555556,0.7755952380952381
10,40,False,0.3222222222222222,1.1444444444444444,0.7755952380952381
10,40,False,0.3222222222222222,1.2333333333333334,0.7755952380952381
10,40,False,0.3222222222222222,1.3222222222222222,0.7755952380952381
10,40,False,0.3222222222222222,1.411111111111111,0.7755952380952381
10,40,False,0.3222222222222222,1.5,0.7755952380952381
10,40,False,0.37777777777777777,0.7,0.7736607142857143
10,40,False,0.37777777777777777,0.7888888888888889,0.7916666666666666
10,40,False,0.37777777777777777,0.8777777777777778,0.7776785714285714
10,40,False,0.37777777777777777,0.9666666666666666,0.7760416666666666
10,40,False,0.37777777777777777,1.0555555555555556,0.7755952380952381
10,40,False,0.37777777777777777,1.1444444444444444,0.7755952380952381
10,40,False,0.37777777777777777,1.2333333333333334,0.7755952380952381
10,40,False,0.37777777777777777,1.3222222222222222,0.7755952380952381
10,40,False,0.37777777777777777,1.411111111111111,0.7755952380952381
10,40,False,0.37777777777777777,1.5,0.7755952380952381
10,40,False,0.43333333333333335,0.7,0.7736607142857143
10,40,False,0.43333333333333335,0.7888888888888889,0.7916666666666666
10,40,False,0.43333333333333335,0.8777777777777778,0.7776785714285714
10,40,False,0.43333333333333335,0.9666666666666666,0.7760416666666666
10,40,False,0.43333333333333335,1.0555555555555556,0.7755952380952381
10,40,False,0.43333333333333335,1.1444444444444444,0.7755952380952381
10,40,False,0.43333333333333335,1.2333333333333334,0.7755952380952381
10,40,False,0.43333333333333335,1.3222222222222222,0.7755952380952381
10,40,False,0.43333333333333335,1.411111111111111,0.7755952380952381
10,40,False,0.43333333333333335,1.5,0.7755952380952381
10,40,False,0.4888888888888888,0.7,0.7736607142857143
10,40,False,0.4888888888888888,0.7888888888888889,0.7916666666666666
10,40,False,0.4888888888888888,0.8777777777777778,0.7776785714285714
10,40,False,0.4888888888888888,0.9666666666666666,0.7760416666666666
10,40,False,0.4888888888888888,1.0555555555555556,0.7755952380952381
10,40,False,0.4888888888888888,1.1444444444444444,0.7755952380952381
10,40,False,0.4888888888888888,1.2333333333333334,0.7755952380952381
10,40,False,0.4888888888888888,1.3222222222222222,0.7755952380952381
10,40,False,0.4888888888888888,1.411111111111111,0.7755952380952381
10,40,False,0.4888888888888888,1.5,0.7755952380952381
10,40,False,0.5444444444444444,0.7,0.7738095238095237
10,40,False,0.5444444444444444,0.7888888888888889,0.7918154761904761
10,40,False,0.5444444444444444,0.8777777777777778,0.777827380952381
10,40,False,0.5444444444444444,0.9666666666666666,0.7761904761904761
10,40,False,0.5444444444444444,1.0555555555555556,0.7757440476190476
10,40,False,0.5444444444444444,1.1444444444444444,0.7757440476190476
10,40,False,0.5444444444444444,1.2333333333333334,0.7757440476190476
10,40,False,0.5444444444444444,1.3222222222222222,0.7757440476190476
